id,gid,x,y,v_x,v_y,radius,time
7,7,3.592254,-3.893099,-0.805305,0.661580,0.500000,2.600000
0,0,4.346969,0.081113,-1.253478,-0.003238,0.500000,2.700000
1,1,3.465717,3.606525,-0.739035,-1.130933,0.500000,2.700000
2,2,0.063182,4.207511,-0.312467,-0.942716,0.500000,2.700000
3,3,-2.981590,3.025684,0.823333,-1.301495,0.500000,2.700000
4,4,-5.455520,-0.178327,0.812972,-0.204339,0.500000,2.700000
5,5,-3.273016,-3.320477,0.643552,0.741933,0.500000,2.700000
6,6,0.226291,-3.924500,-0.138446,1.492036,0.500000,2.700000
7,7,3.514189,-3.804729,-0.780643,0.883702,0.500000,2.700000
0,0,4.199380,0.079686,-1.475896,-0.014271,0.500000,2.800000
1,1,3.411788,3.520483,-0.539287,-0.860422,0.500000,2.800000
2,2,0.005548,4.109374,-0.576341,-0.981369,0.500000,2.800000
3,3,-2.888907,2.924855,0.926830,-1.008287,0.500000,2.800000
4,4,-5.366301,-0.196388,0.892183,-0.180614,0.500000,2.800000
5,5,-3.183045,-3.223002,0.899717,0.974755,0.500000,2.800000
6,6,0.212549,-3.819429,-0.137411,1.050717,0.500000,2.800000
7,7,3.447352,-3.695908,-0.668379,1.088212,0.500000,2.800000
0,0,4.047527,0.078360,-1.518526,-0.013264,0.500000,2.900000
1,1,3.356795,3.436342,-0.549930,-0.841414,0.500000,2.900000
2,2,-0.016647,4.030738,-0.221953,-0.786366,0.500000,2.900000
3,3,-2.761541,2.830524,1.273653,-0.943308,0.500000,2.900000
4,4,-5.262187,-0.227809,1.041144,-0.314206,0.500000,2.900000
5,5,-3.064306,-3.093164,1.187388,1.298381,0.500000,2.900000
6,6,0.196080,-3.736046,-0.164695,0.833823,0.500000,2.900000
7,7,3.389197,-3.611418,-0.581541,0.844898,0.500000,2.900000
0,0,3.892293,0.081914,-1.552336,0.035544,0.500000,3.000000
1,1,3.302404,3.355085,-0.543907,-0.812568,0.500000,3.000000
2,2,-0.026316,3.957334,-0.096686,-0.734038,0.500000,3.000000
3,3,-2.665653,2.738376,0.958883,-0.921483,0.500000,3.000000
4,4,-5.141942,-0.233708,1.202452,-0.058985,0.500000,3.000000
5,5,-2.968904,-2.961851,0.954015,1.313128,0.500000,3.000000
6,6,0.180863,-3.621403,-0.152174,1.146435,0.500000,3.000000
7,7,3.350405,-3.539699,-0.387926,0.717196,0.500000,3.000000
